活动类型,开始时间,结束时间,六星干员
中坚甄选开启,05月15日 04:00,05月29日 03:59,N/A
《明日方舟》矢量突破#1「无机物」宣传PV,05月15日 16:00,06月05日 03:59,N/A
常驻标准寻访,5月8日04:00,5月22日03:59,菲亚梅塔/多萝西
中坚寻访,5月1日04:00,5月15日03:59,水月/空弦
【新增家具】“大海的后嗣们”,5月1日16:00,5月29日03:59,N/A
【罗德岛365年度工作报告】网页活动现已开启,4月26日20:00,5月26日03:59,N/A
【Arknights：Link to the Limitless 】网页活动,4月26日20:00,5月26日03:59,N/A
[限定寻访·庆典]【布道自由】限时寻访即将开启,05月01日 16:00,05月15日 03:59,新约能天使[限定]\蕾缪安
【活动奖励头像】“还我！”,4月26日 21:30,5月15日 03:59,N/A
《明日方舟》「争锋频道：青草城」宣传PV,04月26日 21:30,05月12日 03:59,N/A
常驻标准寻访,4月24日04:00,5月8日03:59,莱伊/霍尔海雅
【新增名片主题】时序花圃,4月24日16:00,5月22日03:59,N/A
【新增名片主题】雾色秘访,4月24日16:00,5月22日03:59,N/A
