名称,开始时间,结束时间,类型
第一段 - 【瞻望圣堂】,2025-05-01 16:00:00,2025-05-22 03:59:00,1
第二段 - 【谒见神祇】,2025-05-08 16:00:00,2025-05-22 03:59:00,1
第三段 - 【息止安所】,2025-05-15 16:00:00,2025-05-22 03:59:00,1
【布道自由】限定寻访开启,2025-05-01 16:00:00,2025-05-15 03:59:00,0
限定寻访每日赠送,2025-05-01 16:00:00,2025-05-15 03:59:00,0
签到活动开启,2025-05-01 16:00:00,2025-05-15 03:59:00,2
活动推荐月卡赠送,2025-04-26 21:30:00,2025-06-01 03:59:00,2
【育婴圣堂许愿墙】活动开启,2025-05-01 16:00:00,2025-05-15 03:59:00,2
新干员登场,2025-05-01 16:00:00,2025-05-22 03:59:00,-1
「争锋频道：青草城」限时活动开启,2025-04-26 21:30:00,2025-05-15 03:59:00,-1
新装限时上架,2025-05-01 16:00:00,2025-05-29 03:59:00,-1
复刻时装限时上架,2025-05-01 16:00:00,2025-05-29 03:59:00,-1
新增主题家具限时获取,2025-05-01 16:00:00,2025-05-29 03:59:00,-1
干员【暴行】限时领取,2025-05-01 16:00:00,2025-05-31 03:59:00,2
资深干员特别调用活动,2025-05-01 16:00:00,2025-05-31 03:59:00,2
庆典组合包限时上架,2025-05-01 16:00:00,2025-05-29 03:59:00,-1
主题场景复刻,2025-05-01 16:00:00,2025-06-01 03:59:00,-1
矢量突破#1「无机物」开启,2025-05-15 16:00:00,2025-06-08 03:59:00,1
【定向甄选】限时寻访开启,2025-05-15 16:00:00,2025-05-29 03:59:00,0
中坚甄选开启,2025-05-15 04:00:00,2025-05-29 03:59:00,0
组合包限时上架,2025-05-15 16:00:00,2025-06-05 03:59:00,-1
“资源收集”关卡限时全天开放,2025-05-15 16:00:00,2025-06-05 03:59:00,1
限时复刻上架,2025-05-22 16:00:00,2025-06-05 03:59:00,-1
