名称,开始时间,结束时间,类型
活动推荐月卡赠送,2025-04-26 21:30:00,2025-06-01 03:59:00,2
干员【暴行】限时领取,2025-05-01 16:00:00,2025-05-31 03:59:00,2
资深干员特别调用活动,2025-05-01 16:00:00,2025-05-31 03:59:00,2
矢量突破#1「无机物」开启,2025-05-15 16:00:00,2025-06-08 03:59:00,1
“资源收集”关卡限时全天开放,2025-05-15 16:00:00,2025-06-05 03:59:00,1
第三段 - 【息止安所】,2025-05-15 16:00:00,2025-05-22 03:59:00,1
第二段 - 【谒见神祇】,2025-05-08 16:00:00,2025-05-22 03:59:00,1
第一段 - 【瞻望圣堂】,2025-05-01 16:00:00,2025-05-22 03:59:00,1
【定向甄选】限时寻访开启,2025-05-15 16:00:00,2025-05-29 03:59:00,0
中坚甄选开启,2025-05-15 04:00:00,2025-05-29 03:59:00,0
